csv,csv_Cn,js,js_Cn,log,log_Cn,other,other_Cn,ps,ps_Cn,sql,sql_Cn,txt,txt_Cn,zip,zip_Cn,zz_level,zz_time,zz_today,path
50000000,1,0,0,50000000,1,0,0,0,0,0,0,0,0,0,0,1,20:03:39,2016-07-13,C:/testdirs\subDirBoo
0,0,0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,20:03:39,2016-07-13,C:/testdirs\subDirFoo
0,0,0,0,0,0,20341,1,0,0,0,0,0,0,0,0,1,21:15:02,2016-07-15,C:\work\Dojo\backups
0,0,646,1,0,0,48451,22,0,0,0,0,0,0,0,0,1,21:15:02,2016-07-15,C:\work\Dojo\CS 300 - Javascript Course
0,0,3946437,443,1687,1,3753189,539,0,0,0,0,0,0,476120,4,1,21:15:02,2016-07-15,C:\work\Dojo\CS 330 - Angular
0,0,6567254,1101,0,0,16015394,2392,0,0,0,0,14950,16,12177398,7,1,21:15:02,2016-07-15,C:\work\Dojo\CS 330 - Nodejs
0,0,7967873,902,3374,2,7575224,1145,0,0,0,0,10960,2,7251870,4,1,21:15:02,2016-07-15,C:\work\Dojo\CS 330- MongoDB
0,0,221243,7,0,0,9727369,102,0,0,0,0,8411,6,6556614,10,1,21:15:02,2016-07-15,C:\work\Dojo\CSSStuff
0,0,0,0,0,0,19094,20,0,0,0,0,0,0,0,0,1,21:15:02,2016-07-15,C:\work\Dojo\CS_105_Algorithms
0,0,40992416,5191,15183,9,40458572,9842,0,0,0,0,39581,37,22484111,12,1,21:15:02,2016-07-15,C:\work\Dojo\CS_330_FULL_MEAN
0,0,0,0,0,0,102262923,15,0,0,2965,1,0,0,9868124,2,1,21:15:02,2016-07-15,C:\work\Dojo\Downlodes
0,0,0,0,0,0,18431145,7,0,0,0,0,0,0,0,0,1,21:15:02,2016-07-15,C:\work\Dojo\HTML45
0,0,371,1,0,0,8866196,5,0,0,0,0,0,0,0,0,1,21:15:02,2016-07-15,C:\work\Dojo\intro
0,0,2464765,41,0,0,2792189,105,0,0,0,0,0,0,1410161,8,1,21:15:02,2016-07-15,C:\work\Dojo\jquery
0,0,0,0,0,0,1273191,11,0,0,3702802,12,0,0,92048,1,1,21:15:02,2016-07-15,C:\work\Dojo\mysql
0,0,2311,4,0,0,8307,5,0,0,0,0,0,0,4565,1,1,21:15:02,2016-07-15,C:\work\Dojo\New folder
0,0,2121,2,0,0,10445,15,0,0,0,0,1854,3,0,0,1,21:15:02,2016-07-15,C:\work\Dojo\q&a notes
0,0,2506779,35,0,0,2125140,40,0,0,0,0,25223,6,0,0,1,21:15:02,2016-07-15,C:\work\Dojo\Refs-notes
0,0,0,0,0,0,38429,3,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\CS 330 - Angular\Angular_Customers
0,0,3943988,442,1687,1,3642578,530,0,0,0,0,0,0,459665,1,2,21:15:02,2016-07-15,C:\work\Dojo\CS 330 - Angular\Angular_Mini_Store
0,0,2449,1,0,0,68881,4,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\CS 330 - Angular\Task_Management
0,0,2020,1,0,0,2849435,15,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\CS 330 - Nodejs\cars_and_cats
0,0,2294,2,0,0,1646251,14,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\CS 330 - Nodejs\content_module
0,0,1948375,314,0,0,3388743,664,0,0,0,0,5770,6,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\CS 330 - Nodejs\express_socket_epic_button_game
0,0,1949236,314,0,0,3390433,664,0,0,0,0,4590,5,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\CS 330 - Nodejs\express_socket_group_chat
0,0,1948674,314,0,0,3391175,664,0,0,0,0,4590,5,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\CS 330 - Nodejs\express_socket_survey_form
0,0,711219,150,0,0,1347531,367,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\CS 330 - Nodejs\express_survey_form
0,0,1532,1,0,0,1508,3,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\CS 330 - Nodejs\landing_page
0,0,678,2,0,0,0,0,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\CS 330 - Nodejs\math_module
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12177398,7,2,21:15:02,2016-07-15,C:\work\Dojo\CS 330 - Nodejs\nodejs_backups
0,0,1017,1,0,0,318,1,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\CS 330 - Nodejs\node_server
0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\CS 330 - Nodejs\testing_node
